"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: impl","Param: iterations"
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.393127,3.384942,"MB/sec",LIGHT,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,42.630068,367.057738,"B/op",LIGHT,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,1.000000,NaN,"counts",LIGHT,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,68.000000,NaN,"ms",LIGHT,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,34.673663,12.026427,"us/op",HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,945.033087,287.646199,"MB/sec",HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,51592.230640,187.766400,"B/op",HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,869.550614,56.462347,"MB/sec",HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,47703.257040,14483.798578,"B/op",HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.022831,0.127569,"MB/sec",HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1.198765,6.560253,"B/op",HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,5.000000,NaN,"counts",HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,191.000000,NaN,"ms",HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,38.444616,14.668540,"us/op",HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,852.466856,301.936883,"MB/sec",HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,51607.404533,208.676093,"B/op",HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,874.334699,54.678395,"MB/sec",HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,53307.380785,20166.059544,"B/op",HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.018738,0.107567,"MB/sec",HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1.072494,6.177022,"B/op",HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,5.000000,NaN,"counts",HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,129.000000,NaN,"ms",HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,65.092844,13.958337,"us/op",HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,502.579750,122.642110,"MB/sec",HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,51644.090119,255.101545,"B/op",HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,619.330203,1379.791276,"MB/sec",HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,63251.018983,143900.585003,"B/op",HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.031169,0.247210,"MB/sec",HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,3.072268,24.095269,"B/op",HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,4.000000,NaN,"counts",HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,105.000000,NaN,"ms",HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,59.722283,11.543808,"us/op",VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,562.323910,114.037478,"MB/sec",VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,52984.690161,231.855769,"B/op",VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,620.397581,1383.424114,"MB/sec",VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,58593.970467,131763.684368,"B/op",VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.042921,0.271790,"MB/sec",VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,4.036993,26.128885,"B/op",VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,4.000000,NaN,"counts",VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,129.000000,NaN,"ms",VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,230.276022,60.506617,"us/op",VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,565.223797,145.934340,"MB/sec",VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,204839.318917,1156.709240,"B/op",VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,621.181835,1385.718992,"MB/sec",VIEW,20
