"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: concurrency","Param: impl","Param: iterations"
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,0.687883,3.638855,"B/op",,HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,4.000000,NaN,"counts",,HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,116.000000,NaN,"ms",,HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,60.628280,81.694046,"us/op",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,581.677301,710.922897,"MB/sec",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,51610.186975,282.040504,"B/op",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,583.855001,2259.509994,"MB/sec",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,55066.191973,217798.936711,"B/op",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.396065,3.365595,"MB/sec",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,33.972813,285.895930,"B/op",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,4.000000,NaN,"counts",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,248.000000,NaN,"ms",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,124.648675,61.604838,"us/op",,HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,264.116704,116.278903,"MB/sec",,HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,51595.379340,579.499879,"B/op",,HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,268.153508,1414.265902,"MB/sec",,HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,56408.584637,302083.313024,"B/op",,HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.393917,3.327260,"MB/sec",,HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,92.321904,782.994707,"B/op",,HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,2.000000,NaN,"counts",,HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,183.000000,NaN,"ms",,HEAVY,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,125.283780,55.816651,"us/op",,VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,268.257119,140.696372,"MB/sec",,VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,52971.804979,720.973559,"B/op",,VIEW,5
